iter	Passed	Remaining
410	3708	5314
411	3716	5303
412	3725	5295
413	3733	5284
414	3743	5276
415	3750	5265
416	3760	5257
417	3767	5246
418	3778	5239
419	3789	5232
420	3799	5225
421	3810	5219
422	3822	5214
423	3831	5205
424	3843	5200
425	3855	5195
426	3864	5186
427	3877	5181
428	3889	5176
429	3898	5167
430	3910	5162
431	3919	5153
432	3928	5144
433	3940	5138
434	3949	5129
435	3960	5122
436	3971	5116
437	3981	5108
438	3995	5105
439	4006	5099
440	4014	5089
441	4024	5081
442	4034	5072
443	4042	5062
444	4052	5054
445	4060	5043
446	4069	5034
447	4078	5024
448	4088	5017
449	4096	5006
450	4106	4999
451	4114	4987
452	4123	4979
453	4132	4970
454	4141	4960
455	4151	4952
456	4158	4941
457	4167	4932
458	4175	4920
459	4185	4913
460	4192	4902
461	4202	4894
462	4209	4882
463	4220	4875
464	4227	4864
465	4237	4855
466	4245	4845
467	4254	4835
468	4261	4825
469	4270	4816
470	4279	4806
471	4287	4795
472	4295	4785
473	4303	4775
474	4311	4765
475	4319	4754
476	4327	4744
477	4334	4733
478	4342	4723
479	4351	4714
480	4358	4702
481	4368	4694
482	4375	4683
483	4385	4675
484	4393	4665
485	4402	4656
486	4411	4647
487	4420	4637
488	4429	4628
489	4437	4618
490	4446	4609
491	4454	4598
492	4464	4591
493	4472	4580
494	4482	4572
495	4489	4561
496	4496	4551
497	4503	4540
498	4511	4529
499	4518	4518
500	4525	4507
501	4532	4496
502	4539	4485
503	4546	4474
504	4553	4462
505	4560	4452
506	4567	4441
507	4574	4430
508	4581	4419
509	4588	4409
510	4595	4397
511	4602	4387
512	4610	4376
513	4617	4365
514	4624	4355
515	4631	4344
516	4638	4333
517	4645	4322
518	4651	4311
519	4659	4300
520	4666	4290
521	4673	4279
522	4680	4268
523	4687	4258
524	4694	4247
525	4701	4236
526	4710	4227
527	4717	4217
528	4725	4207
529	4732	4196
530	4739	4186
531	4747	4176
532	4754	4165
533	4761	4155
534	4768	4144
535	4775	4134
536	4783	4124
537	4793	4115
538	4801	4106
539	4809	4096
540	4816	4086
541	4824	4076
542	4831	4066
543	4841	4058
544	4849	4048
545	4857	4039
546	4864	4028
547	4874	4020
548	4881	4010
549	4891	4002
550	4899	3992
551	4909	3984
552	4918	3975
553	4926	3966
554	4936	3957
555	4944	3948
556	4953	3939
557	4960	3929
558	4969	3920
559	4978	3911
560	4987	3902
561	4994	3892
562	5004	3884
563	5011	3874
564	5021	3866
565	5028	3856
566	5038	3847
567	5045	3837
568	5054	3828
569	5061	3818
570	5070	3809
571	5078	3799
572	5087	3791
573	5094	3780
574	5103	3772
575	5110	3761
576	5119	3753
577	5126	3743
578	5135	3734
579	5142	3724
580	5151	3715
581	5158	3705
582	5167	3696
583	5175	3686
584	5185	3678
585	5193	3669
586	5203	3660
587	5211	3651
588	5219	3642
589	5227	3632
590	5235	3623
591	5243	3613
592	5251	3604
593	5259	3594
594	5267	3585
595	5275	3575
596	5282	3566
597	5289	3556
598	5298	3546
599	5305	3536
600	5313	3527
601	5320	3517
602	5328	3508
603	5335	3497
604	5342	3488
605	5351	3479
606	5360	3470
607	5368	3461
608	5376	3452
609	5385	3443
610	5396	3435
611	5404	3426
612	5414	3418
613	5424	3410
614	5434	3402
615	5446	3395
616	5457	3387
617	5465	3378
618	5473	3368
619	5479	3358
620	5486	3348
621	5493	3338
622	5500	3328
623	5507	3318
624	5513	3308
625	5520	3298
626	5529	3289
627	5538	3280
628	5546	3271
629	5556	3263
630	5564	3254
631	5574	3246
632	5582	3236
633	5591	3227
634	5599	3218
635	5609	3210
636	5617	3200
637	5627	3193
638	5635	3183
639	5644	3175
640	5651	3165
641	5661	3157
642	5669	3147
643	5678	3139
644	5688	3130
645	5696	3121
646	5704	3112
647	5712	3103
648	5721	3094
649	5729	3085
650	5738	3076
651	5745	3066
652	5754	3057
653	5761	3048
654	5770	3039
655	5777	3029
656	5786	3021
657	5794	3011
658	5804	3003
659	5812	2994
660	5822	2985
661	5829	2976
662	5838	2967
663	5846	2958
664	5856	2950
665	5863	2940
666	5872	2931
667	5879	2922
668	5888	2913
669	5895	2903
670	5904	2895
671	5911	2885
672	5920	2876
673	5927	2867
674	5936	2858
675	5946	2850
676	5958	2842
677	5970	2835
678	5981	2827
679	5991	2819
680	6000	2811
681	6010	2802
682	6021	2794
683	6031	2786
684	6040	2777
685	6051	2769
686	6059	2760
687	6069	2752
688	6079	2744
689	6091	2736
690	6100	2727
691	6108	2718
692	6119	2710
693	6126	2701
694	6135	2692
695	6142	2682
696	6151	2674
697	6158	2664
698	6167	2655
699	6174	2646
700	6182	2637
701	6191	2628
702	6200	2619
703	6209	2610
704	6217	2601
705	6268	2610
706	6283	2604
707	6294	2596
708	6302	2586
709	6310	2577
710	6318	2568
711	6326	2559
712	6335	2550
713	6344	2541
714	6352	2531
715	6361	2523
716	6368	2513
717	6376	2504
718	6384	2495
719	6392	2485
720	6401	2476
721	6409	2467
722	6416	2458
723	6424	2448
724	6431	2439
725	6438	2429
726	6447	2421
727	6454	2411
728	6463	2402
729	6470	2393
730	6479	2384
731	6486	2374
732	6496	2366
733	6503	2357
734	6513	2348
735	6520	2338
736	6529	2330
737	6536	2320
738	6546	2312
739	6553	2302
740	6563	2294
741	6570	2284
742	6579	2275
743	6586	2266
744	6594	2257
745	6601	2247
746	6610	2238
747	6617	2229
748	6626	2220
749	6633	2211
750	6642	2202
751	6650	2193
752	6660	2184
753	6668	2175
754	6679	2167
755	6689	2158
756	6697	2149
757	6708	2141
758	6717	2133
759	6727	2124
760	6737	2115
761	6745	2106
762	6755	2098
763	6763	2089
764	6772	2080
765	6780	2071
766	6789	2062
767	6796	2053
768	6804	2044
769	6812	2034
770	6821	2026
771	6829	2016
772	6839	2008
773	6846	1999
774	6855	1990
775	6863	1981
776	6872	1972
777	6879	1963
778	6889	1954
779	6898	1945
780	6907	1937
781	6917	1928
782	6924	1919
783	6932	1909
784	6939	1900
785	6946	1891
786	6954	1882
787	6961	1872
788	6972	1864
789	6983	1856
790	6992	1847
791	7002	1838
792	7010	1830
793	7021	1821
794	7030	1812
795	7040	1804
796	7048	1795
797	7057	1786
798	7065	1777
799	7073	1768
800	7081	1759
801	7089	1750
802	7100	1741
803	7108	1732
804	7117	1724
805	7125	1715
806	7134	1706
807	7141	1697
808	7150	1688
809	7157	1678
810	7165	1669
811	7172	1660
812	7180	1651
813	7187	1642
814	7194	1633
815	7201	1623
816	7208	1614
817	7215	1605
818	7222	1596
819	7230	1587
820	7237	1578
821	7245	1568
822	7251	1559
823	7260	1550
824	7267	1541
825	7273	1532
826	7281	1523
827	7288	1514
828	7296	1505
829	7303	1495
830	7310	1486
831	7318	1477
832	7325	1468
833	7332	1459
834	7340	1450
835	7348	1441
836	7355	1432
837	7364	1423
838	7371	1414
839	7379	1405
840	7386	1396
841	7394	1387
842	7400	1378
843	7408	1369
844	7416	1360
845	7425	1351
846	7432	1342
847	7440	1333
848	7448	1324
849	7458	1316
850	7467	1307
851	7478	1299
852	7486	1290
853	7496	1281
854	7505	1272
855	7514	1264
856	7525	1255
857	7534	1247
858	7545	1238
859	7553	1229
860	7562	1220
861	7570	1212
862	7578	1203
863	7586	1194
864	7594	1185
865	7603	1176
866	7611	1167
867	7620	1158
868	7628	1149
869	7637	1141
870	7645	1132
871	7653	1123
872	7661	1114
873	7668	1105
874	7677	1096
875	7687	1088
876	7695	1079
877	7706	1070
878	7714	1061
879	7724	1053
880	7732	1044
881	7742	1035
882	7750	1026
883	7758	1018
884	7766	1009
885	7775	1000
886	7783	991
887	7791	982
888	7799	973
889	7807	964
890	7814	956
891	7823	947
892	7830	938
893	7839	929
894	7846	920
895	7855	911
896	7864	903
897	7874	894
898	7883	885
899	7890	876
900	7899	868
901	7907	859
902	7916	850
903	7924	841
904	7934	832
905	7940	823
906	7949	815
907	7957	806
908	7966	797
909	7974	788
910	7983	779
911	7991	771
912	8001	762
913	8008	753
914	8019	744
915	8027	736
916	8037	727
917	8045	718
918	8053	709
919	8062	701
920	8071	692
921	8081	683
922	8090	674
923	8101	666
924	8112	657
925	8122	649
926	8140	641
927	8151	632
928	8162	623
929	8171	615
930	8182	606
931	8192	597
932	8202	589
933	8213	580
934	8221	571
935	8233	562
936	8243	554
937	8252	545
938	8262	536
939	8270	527
940	8281	519
941	8289	510
942	8296	501
943	8302	492
944	8311	483
945	8318	474
946	8328	466
947	8335	457
948	8342	448
949	8349	439
950	8358	430
951	8364	421
952	8371	412
953	8379	404
954	8387	395
955	8394	386
956	8401	377
957	8408	368
958	8415	359
959	8423	350
960	8430	342
961	8438	333
962	8445	324
963	8452	315
964	8459	306
965	8467	298
966	8475	289
967	8482	280
968	8490	271
969	8499	262
970	8509	254
971	8516	245
972	8527	236
973	8536	227
974	8544	219
975	8553	210
976	8561	201
977	8572	192
978	8581	184
979	8591	175
980	8601	166
981	8610	157
982	8621	149
983	8628	140
984	8638	131
985	8646	122
986	8655	114
987	8662	105
988	8671	96
989	8678	87
990	8688	78
991	8695	70
992	8705	61
993	8712	52
994	8722	43
995	8729	35
996	8740	26
997	8747	17
998	8757	8
999	8766	0
